Library,month,visits
http://datadock.io/kal/data/id/resource/library/City,2009-08,107539
http://datadock.io/kal/data/id/resource/library/City,2009-09,102683
http://datadock.io/kal/data/id/resource/library/City,2009-10,109229
http://datadock.io/kal/data/id/resource/library/City,2009-11,96066
http://datadock.io/kal/data/id/resource/library/City,2009-12,80784
http://datadock.io/kal/data/id/resource/library/City,2010-01,87343
http://datadock.io/kal/data/id/resource/library/City,2010-02,99292
http://datadock.io/kal/data/id/resource/library/City,2010-03,105213
http://datadock.io/kal/data/id/resource/library/City,2010-04,90227
http://datadock.io/kal/data/id/resource/library/City,2010-05,91773
http://datadock.io/kal/data/id/resource/library/City,2010-06,94781
http://datadock.io/kal/data/id/resource/library/City,2010-07,95719
http://datadock.io/kal/data/id/resource/library/City,2010-08,95688
http://datadock.io/kal/data/id/resource/library/City,2010-09,95518
http://datadock.io/kal/data/id/resource/library/City,2010-10,99759
http://datadock.io/kal/data/id/resource/library/City,2010-11,93160
http://datadock.io/kal/data/id/resource/library/City,2010-12,73549
http://datadock.io/kal/data/id/resource/library/City,2011-01,88713
http://datadock.io/kal/data/id/resource/library/City,2011-02,91461
http://datadock.io/kal/data/id/resource/library/City,2011-03,99222
http://datadock.io/kal/data/id/resource/library/City,2011-04,76823
http://datadock.io/kal/data/id/resource/library/City,2011-05,86254
http://datadock.io/kal/data/id/resource/library/City,2011-06,89102
http://datadock.io/kal/data/id/resource/library/City,2011-07,86072
http://datadock.io/kal/data/id/resource/library/City,2011-08,87450
http://datadock.io/kal/data/id/resource/library/City,2011-09,83099
http://datadock.io/kal/data/id/resource/library/City,2011-10,85773
http://datadock.io/kal/data/id/resource/library/City,2011-11,80571
http://datadock.io/kal/data/id/resource/library/City,2011-12,73543
http://datadock.io/kal/data/id/resource/library/City,2012-01,77825
http://datadock.io/kal/data/id/resource/library/City,2012-02,80796
http://datadock.io/kal/data/id/resource/library/City,2012-03,79552
http://datadock.io/kal/data/id/resource/library/City,2012-04,75863
http://datadock.io/kal/data/id/resource/library/City,2012-05,77018
http://datadock.io/kal/data/id/resource/library/City,2012-06,74685
http://datadock.io/kal/data/id/resource/library/City,2012-07,81519
http://datadock.io/kal/data/id/resource/library/City,2012-08,80171
http://datadock.io/kal/data/id/resource/library/City,2012-09,82258
http://datadock.io/kal/data/id/resource/library/City,2012-10,86321
http://datadock.io/kal/data/id/resource/library/City,2012-11,80381
http://datadock.io/kal/data/id/resource/library/City,2012-12,67211
http://datadock.io/kal/data/id/resource/library/City,2013-01,75012
http://datadock.io/kal/data/id/resource/library/City,2013-02,74007
http://datadock.io/kal/data/id/resource/library/City,2013-03,73385
http://datadock.io/kal/data/id/resource/library/City,2013-04,76821
http://datadock.io/kal/data/id/resource/library/City,2013-05,75699
http://datadock.io/kal/data/id/resource/library/City,2013-06,71806
http://datadock.io/kal/data/id/resource/library/City,2013-07,76948
http://datadock.io/kal/data/id/resource/library/City,2013-08,53157
http://datadock.io/kal/data/id/resource/library/City,2013-09,67863
http://datadock.io/kal/data/id/resource/library/City,2013-10,67863
http://datadock.io/kal/data/id/resource/library/City,2013-11,67863
http://datadock.io/kal/data/id/resource/library/City,2013-12,67863
http://datadock.io/kal/data/id/resource/library/City,2014-01,63134
http://datadock.io/kal/data/id/resource/library/City,2014-02,64506
http://datadock.io/kal/data/id/resource/library/City,2014-03,60836
http://datadock.io/kal/data/id/resource/library/City,2014-04,55649
http://datadock.io/kal/data/id/resource/library/City,2014-05,55649
http://datadock.io/kal/data/id/resource/library/City,2014-06,58981
http://datadock.io/kal/data/id/resource/library/City,2014-07,64122
http://datadock.io/kal/data/id/resource/library/City,2014-08,67600
http://datadock.io/kal/data/id/resource/library/City,2014-09,69071
http://datadock.io/kal/data/id/resource/library/City,2014-10,68438
http://datadock.io/kal/data/id/resource/library/City,2014-11,66186
http://datadock.io/kal/data/id/resource/library/City,2014-12,58631
http://datadock.io/kal/data/id/resource/library/City,2015-01,67058
http://datadock.io/kal/data/id/resource/library/City,2015-02,64434
http://datadock.io/kal/data/id/resource/library/City,2015-03,68720
http://datadock.io/kal/data/id/resource/library/City,2015-04,61643
http://datadock.io/kal/data/id/resource/library/City,2015-05,64774
http://datadock.io/kal/data/id/resource/library/City,2015-06,63620
http://datadock.io/kal/data/id/resource/library/City,2015-07,67084
http://datadock.io/kal/data/id/resource/library/City,2015-08,63523
http://datadock.io/kal/data/id/resource/library/City,2015-09,62178
http://datadock.io/kal/data/id/resource/library/City,2015-10,63204
http://datadock.io/kal/data/id/resource/library/City,2015-11,62238
http://datadock.io/kal/data/id/resource/library/City,2015-12,50912
http://datadock.io/kal/data/id/resource/library/City,2016-01,57627
http://datadock.io/kal/data/id/resource/library/City,2016-02,63405
http://datadock.io/kal/data/id/resource/library/City,2016-03,61221
http://datadock.io/kal/data/id/resource/library/City,2016-04,67403
http://datadock.io/kal/data/id/resource/library/City,2016-05,60388
http://datadock.io/kal/data/id/resource/library/City,2016-06,59304
http://datadock.io/kal/data/id/resource/library/City,2016-07,58149
http://datadock.io/kal/data/id/resource/library/City,2016-08,60403
http://datadock.io/kal/data/id/resource/library/City,2016-09,57427
http://datadock.io/kal/data/id/resource/library/City,2016-10,58557
http://datadock.io/kal/data/id/resource/library/City,2016-11,57791
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-04,2175
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-05,2799
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-06,2799
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-07,2799
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-08,2201
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-09,2201
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-10,2201
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-11,2726
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-12,2726
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-01,2726
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-02,2533
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-03,3010
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-04,2775
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-05,2615
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-06,2705
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-07,2869
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-08,2836
